transaction_id,date_id,date,year,quarter,month,month_name,product_id,product_name,category,customer_id,company_name,segment,region,salesperson_id,salesperson_name,seniority,quantity,revenue,cost,profit,margin_pct
T00104,113,2022-04-23,2022,2,4,April,P009,Printer,Hardware,C0065,Albuquerque S/A,Enterprise,West,S011,Dr. Vitor Gabriel Caldeira,Mid,5,21826.35,8512.28,13314.07,61.0
T00105,140,2022-05-20,2022,2,5,May,P014,Training,Services,C0199,Ribeiro da Mota S.A.,SMB,West,S027,Helena Pimenta,Mid,10,164395.5,106857.08,57538.42,35.0
T00106,559,2023-07-13,2023,3,7,July,P008,Monitor,Hardware,C0071,Pacheco,SMB,West,S030,Vinicius Martins,Mid,16,47891.52,21551.18,26340.34,55.0
T00107,1,2022-01-01,2022,1,1,January,P019,Add-on Pack,Subscriptions,C0007,Almeida,Mid-Market,West,S019,Alexia das Neves,Mid,12,13997.16,7978.38,6018.78,43.0
T00108,90,2022-03-31,2022,1,3,March,P003,BI Tool,Software,C0200,Azevedo S.A.,Enterprise,West,S002,Luiz Gustavo Barros,Mid,14,8296.82,2986.86,5309.96,64.0
T00109,654,2023-10-16,2023,4,10,October,P018,Enterprise Plan,Subscriptions,C0080,Pacheco,Enterprise,Central,S006,Dr. Antony Souza,Junior,11,19642.7,9232.07,10410.63,53.0
T00110,320,2022-11-16,2022,4,11,November,P005,Cloud Storage,Software,C0067,Rodrigues,Mid-Market,North,S029,Rhavi Fernandes,Junior,19,61813.46,28434.19,33379.27,54.0
T00111,139,2022-05-19,2022,2,5,May,P014,Training,Services,C0138,Souza e Filhos,Enterprise,Central,S023,Caleb Duarte,Senior,6,98637.3,64114.24,34523.06,35.0
T00112,845,2024-04-24,2024,2,4,April,P004,Security Suite,Software,C0199,Ribeiro da Mota S.A.,SMB,West,S021,Ana Luiza Cunha,Senior,10,13253.2,5301.28,7951.92,60.0
T00113,259,2022-09-16,2022,3,9,September,P007,Server,Hardware,C0181,Vargas das Neves S/A,SMB,Central,S001,Dr. Luiz Otávio Monteiro,Mid,3,6083.31,3893.32,2189.99,36.0
T00114,902,2024-06-20,2024,2,6,June,P020,API Access,Subscriptions,C0101,Moura da Rosa S.A.,SMB,South,S003,Dra. Agatha Melo,Mid,15,2224.5,756.33,1468.17,66.0
T00115,690,2023-11-21,2023,4,11,November,P012,Implementation,Services,C0095,Ferreira,Mid-Market,East,S003,Dra. Agatha Melo,Mid,11,60804.59,24929.88,35874.71,59.0
T00116,10,2022-01-10,2022,1,1,January,P002,CRM License,Software,C0087,Cardoso,SMB,West,S028,Ana Luiza Azevedo,Mid,2,2403.96,1322.18,1081.78,45.0
T00117,261,2022-09-18,2022,3,9,September,P011,Consulting,Services,C0185,Silveira,SMB,South,S014,Maria Julia Marques,Mid,6,113465.88,57867.6,55598.28,49.0
T00118,172,2022-06-21,2022,2,6,June,P014,Training,Services,C0091,Fernandes - ME,Enterprise,South,S020,Joana Vieira,Mid,17,279472.35,181657.03,97815.32,35.0
T00119,898,2024-06-16,2024,2,6,June,P016,Basic Plan,Subscriptions,C0103,Macedo,Enterprise,East,S030,Vinicius Martins,Mid,18,14059.44,4780.21,9279.23,66.0
T00120,13,2022-01-13,2022,1,1,January,P020,API Access,Subscriptions,C0126,Câmara Mendonça e Filhos,Mid-Market,North,S026,Vitor Hugo da Costa,Senior,4,593.2,201.69,391.51,66.0
T00121,321,2022-11-17,2022,4,11,November,P006,Laptop,Hardware,C0155,Ramos Aragão S/A,Enterprise,East,S022,Sr. Mateus Abreu,Mid,9,20138.85,6444.43,13694.42,68.0
T00122,329,2022-11-25,2022,4,11,November,P004,Security Suite,Software,C0182,Novais Marques - ME,Mid-Market,Central,S005,Joaquim Casa Grande,Mid,10,13253.2,5301.28,7951.92,60.0
T00123,785,2024-02-24,2024,1,2,February,P015,Audit,Services,C0113,Castro,SMB,North,S017,Mirella Brito,Mid,2,4198.8,2309.34,1889.46,45.0
T00124,777,2024-02-16,2024,1,2,February,P001,ERP License,Software,C0004,Silva - ME,SMB,West,S015,Liam da Cunha,Mid,11,24039.73,8413.91,15625.82,65.0
T00125,911,2024-06-29,2024,2,6,June,P007,Server,Hardware,C0088,Vasconcelos Ribeiro - ME,SMB,Central,S006,Dr. Antony Souza,Junior,11,22305.47,14275.5,8029.97,36.0
T00126,318,2022-11-14,2022,4,11,November,P012,Implementation,Services,C0151,Monteiro,Mid-Market,East,S014,Maria Julia Marques,Mid,11,60804.59,24929.88,35874.71,59.0
T00127,236,2022-08-24,2022,3,8,August,P010,Network Switch,Hardware,C0176,Alves da Cunha S.A.,SMB,North,S014,Maria Julia Marques,Mid,1,3044.32,1095.96,1948.36,64.0
T00128,334,2022-11-30,2022,4,11,November,P005,Cloud Storage,Software,C0170,Borges Araújo - EI,Mid-Market,East,S025,Bella Fernandes,Junior,14,45546.76,20951.51,24595.25,54.0
T00129,376,2023-01-11,2023,1,1,January,P012,Implementation,Services,C0003,Peixoto,Mid-Market,East,S027,Helena Pimenta,Mid,1,5527.69,2266.35,3261.34,59.0
T00130,588,2023-08-11,2023,3,8,August,P018,Enterprise Plan,Subscriptions,C0091,Fernandes - ME,Enterprise,South,S017,Mirella Brito,Mid,9,16071.3,7553.51,8517.79,53.0
T00131,513,2023-05-28,2023,2,5,May,P010,Network Switch,Hardware,C0003,Peixoto,Mid-Market,East,S008,Hellena Cirino,Mid,1,3044.32,1095.96,1948.36,64.0
T00132,918,2024-07-06,2024,3,7,July,P006,Laptop,Hardware,C0156,Pereira,SMB,West,S008,Hellena Cirino,Mid,4,8950.6,2864.19,6086.41,68.0
T00133,873,2024-05-22,2024,2,5,May,P012,Implementation,Services,C0191,Cassiano Ltda.,Enterprise,Central,S019,Alexia das Neves,Mid,1,5527.69,2266.35,3261.34,59.0
T00134,270,2022-09-27,2022,3,9,September,P007,Server,Hardware,C0081,Silveira,Mid-Market,West,S029,Rhavi Fernandes,Junior,19,38527.63,24657.68,13869.95,36.0
T00135,798,2024-03-08,2024,1,3,March,P018,Enterprise Plan,Subscriptions,C0159,Rocha - EI,SMB,East,S009,Guilherme Alves,Mid,10,17857.0,8392.79,9464.21,53.0
T00136,725,2023-12-26,2023,4,12,December,P002,CRM License,Software,C0138,Souza e Filhos,Enterprise,Central,S011,Dr. Vitor Gabriel Caldeira,Mid,15,18029.7,9916.34,8113.36,45.0
T00137,5,2022-01-05,2022,1,1,January,P010,Network Switch,Hardware,C0177,Castro,SMB,South,S013,Maria Isis Sousa,Mid,4,12177.28,4383.82,7793.46,64.0
T00138,851,2024-04-30,2024,2,4,April,P015,Audit,Services,C0094,da Costa Novaes S/A,SMB,South,S013,Maria Isis Sousa,Mid,14,29391.6,16165.38,13226.22,45.0
T00139,78,2022-03-19,2022,1,3,March,P012,Implementation,Services,C0126,Câmara Mendonça e Filhos,Mid-Market,North,S027,Helena Pimenta,Mid,5,27638.45,11331.76,16306.69,59.0
T00140,574,2023-07-28,2023,3,7,July,P017,Pro Plan,Subscriptions,C0113,Castro,SMB,North,S024,Vicente Ribeiro,Mid,15,3311.4,1357.67,1953.73,59.0
T00141,132,2022-05-12,2022,2,5,May,P004,Security Suite,Software,C0149,Vasconcelos Vargas S/A,SMB,West,S019,Alexia das Neves,Mid,15,19879.8,7951.92,11927.88,60.0
T00142,601,2023-08-24,2023,3,8,August,P007,Server,Hardware,C0100,Machado das Neves - EI,SMB,South,S026,Vitor Hugo da Costa,Senior,16,32444.32,20764.36,11679.96,36.0
T00143,1066,2024-12-01,2024,4,12,December,P009,Printer,Hardware,C0053,Garcia Guerra e Filhos,Enterprise,South,S021,Ana Luiza Cunha,Senior,16,69844.32,27239.28,42605.04,61.0
T00144,89,2022-03-30,2022,1,3,March,P019,Add-on Pack,Subscriptions,C0087,Cardoso,SMB,West,S019,Alexia das Neves,Mid,4,4665.72,2659.46,2006.26,43.0
T00145,402,2023-02-06,2023,1,2,February,P007,Server,Hardware,C0089,Fonseca Caldeira S.A.,SMB,Central,S005,Joaquim Casa Grande,Mid,9,18249.93,11679.96,6569.97,36.0
T00146,296,2022-10-23,2022,4,10,October,P002,CRM License,Software,C0054,Vieira Silveira S/A,Mid-Market,Central,S016,Sophia Sampaio,Mid,1,1201.98,661.09,540.89,45.0
T00147,616,2023-09-08,2023,3,9,September,P006,Laptop,Hardware,C0185,Silveira,SMB,South,S009,Guilherme Alves,Mid,5,11188.25,3580.24,7608.01,68.0
